country,sex,avg_suicides_per_100k
Bahamas,male,3.242083333333333
Guyana,male,49.32458333333332
Israel,female,2.5250000000000004
Ukraine,male,36.17933333333333
Panama,female,1.1024999999999998
New Zealand,female,6.457083333333333
Republic of Korea,male,52.99638888888889
Greece,male,7.18361111111111
Greece,female,1.5077777777777779
Israel,male,10.865277777777777
Trinidad and Tobago,male,20.154166666666665
Suriname,male,47.742000000000004
Ireland,male,17.317333333333337
Italy,male,11.26
Qatar,female,0.6353658536585367
Colombia,male,9.32583333333333
Kuwait,female,0.8653333333333334
Canada,female,5.114166666666666
Poland,female,3.7022222222222223
South Africa,male,1.7538888888888886
Ireland,female,3.8036666666666656
Jamaica,female,0.20416666666666664
Spain,male,12.724444444444446
Switzerland,male,21.20222222222223
Singapore,male,14.725833333333334
Netherlands,male,14.403170731707322
Uzbekistan,female,3.6963333333333335
Estonia,male,32.6263888888889
Argentina,male,15.44611111111111
Sweden,female,6.933170731707317
Chile,female,3.8711111111111114
Mexico,male,9.098333333333333
Costa Rica,male,11.963000000000003
Nicaragua,female,2.545555555555555
Thailand,male,10.691219512195126
Guatemala,female,1.4811111111111113
Philippines,female,1.3116666666666668
Hungary,female,9.348292682926829
Costa Rica,female,1.872
Ecuador,male,10.08027777777778
Paraguay,female,2.7223333333333333
New Zealand,male,18.460416666666664
Saint Lucia,male,11.319
France,male,26.082000000000004
Bahamas,female,0.8020833333333334
Ukraine,female,6.846000000000001
Belgium,female,8.835833333333333
Maldives,female,0.0
Belarus,male,41.37749999999999
Cabo Verde,male,19.653333333333332
Georgia,female,1.3686111111111112
Bosnia and Herzegovina,female,1.835
Guyana,female,12.215416666666664
Uzbekistan,male,8.699666666666667
Albania,male,4.363333333333333
Cyprus,male,7.5126829268292665
Poland,male,26.846388888888892
El Salvador,female,3.4020000000000006
Puerto Rico,female,1.7047222222222222
Kyrgyzstan,female,4.618888888888888
Saint Vincent and Grenadines,female,1.453611111111111
Nicaragua,male,10.588333333333335
Saint Vincent and Grenadines,male,7.100833333333333
Germany,female,5.766388888888889
United Kingdom,male,10.723055555555556
Finland,male,24.677222222222223
Bulgaria,male,19.40433333333334
Seychelles,female,1.0369444444444444
Lithuania,female,10.49219512195122
Republic of Korea,female,21.435555555555563
South Africa,female,0.4388888888888889
Grenada,female,0.0
Kazakhstan,female,8.326944444444443
Cuba,male,26.9436111111111
Australia,male,18.051111111111112
Georgia,male,7.5275
Belgium,male,26.277500000000003
Czech Republic,female,4.894146341463414
Oman,male,0.44250000000000006
Turkmenistan,female,1.3680555555555554
Cuba,female,5.905833333333331
Qatar,male,1.985121951219512
Bahrain,male,1.0893333333333333
Grenada,male,0.9448780487804876
France,female,7.025333333333333
Russian Federation,female,7.435833333333333
Denmark,male,16.513055555555557
Armenia,female,1.5831707317073174
Paraguay,male,8.385333333333332
Malta,male,10.454444444444443
Albania,female,2.58
Fiji,female,3.2616666666666667
Iceland,female,6.198292682926829
Czech Republic,male,25.64439024390244
Slovenia,male,37.73888888888888
Australia,female,5.4894444444444455
Slovakia,male,20.22291666666667
Latvia,female,6.118055555555556
Antigua and Barbuda,male,0.0
Mongolia,female,5.636000000000001
United Kingdom,female,2.909166666666666
Chile,male,20.898333333333337
Spain,female,3.274444444444445
Portugal,male,19.163666666666668
Puerto Rico,male,13.149444444444441
Bahrain,female,0.3953333333333333
Luxembourg,male,16.135277777777777
Iceland,male,21.13219512195122
Austria,female,6.9712195121951215
Mexico,female,1.7322222222222223
Argentina,female,2.9936111111111114
Serbia,female,8.282500000000002
Armenia,male,5.009268292682926
Belize,female,1.7044444444444442
Romania,female,3.3929268292682924
United Arab Emirates,female,0.9883333333333334
Croatia,male,30.590731707317087
Suriname,female,14.820000000000002
Belarus,female,6.8545833333333315
Fiji,male,13.284166666666666
Uruguay,female,7.51
Barbados,male,0.3175
Serbia,male,29.299166666666665
United States,female,5.255833333333333
Belize,male,14.15777777777778
Slovenia,female,7.1274999999999995
United States,male,22.51638888888889
Japan,female,11.275277777777777
Thailand,female,2.8153658536585375
United Arab Emirates,male,2.796666666666667
Germany,male,19.504722222222224
Maldives,male,0.6149999999999999
Aruba,male,9.733333333333333
Canada,male,16.496666666666663
Mauritius,female,3.6097560975609757
Uruguay,male,35.474333333333334
Italy,female,2.5661111111111112
Netherlands,female,6.141951219512194
El Salvador,male,15.078666666666667
Philippines,male,5.510833333333333
Antigua and Barbuda,female,0.6508333333333333
Lithuania,male,57.070731707317094
Cabo Verde,female,2.6533333333333333
Finland,female,7.017500000000001
Ecuador,female,3.099166666666667
Romania,male,19.77170731707317
Jamaica,male,2.214166666666667
