country,year,sex,age,suicides_no,population,suicides/100k pop
Albania,2010,male,55-74 years,20,241852,8.27
Albania,2010,male,35-54 years,20,371611,5.38
Albania,2010,male,25-34 years,9,179720,5.01
Albania,2010,male,75+ years,2,50767,3.94
Albania,2010,male,15-24 years,10,279508,3.58
Albania,2010,female,25-34 years,6,183579,3.27
Albania,2010,female,75+ years,2,64415,3.1
Albania,2010,female,35-54 years,12,394593,3.04
Albania,2010,female,55-74 years,7,241491,2.9
Albania,2010,female,15-24 years,6,263581,2.28
Albania,2010,female,5-14 years,2,223969,0.89
Albania,2010,male,5-14 years,0,240939,0.0
Antigua and Barbuda,2012,female,15-24 years,0,8435,0.0
Antigua and Barbuda,2012,female,25-34 years,0,7215,0.0
Antigua and Barbuda,2012,female,35-54 years,0,15193,0.0
Antigua and Barbuda,2012,female,5-14 years,0,8401,0.0
Antigua and Barbuda,2012,female,55-74 years,0,5512,0.0
Antigua and Barbuda,2012,female,75+ years,0,1625,0.0
Antigua and Barbuda,2012,male,15-24 years,0,7893,0.0
Antigua and Barbuda,2012,male,25-34 years,0,6629,0.0
Antigua and Barbuda,2012,male,35-54 years,0,13280,0.0
Antigua and Barbuda,2012,male,5-14 years,0,8475,0.0
Antigua and Barbuda,2012,male,55-74 years,0,4994,0.0
Antigua and Barbuda,2012,male,75+ years,0,1051,0.0
Antigua and Barbuda,2013,female,15-24 years,0,8494,0.0
Antigua and Barbuda,2013,female,25-34 years,0,7397,0.0
Antigua and Barbuda,2013,female,35-54 years,0,15236,0.0
Antigua and Barbuda,2013,female,5-14 years,0,8353,0.0
Antigua and Barbuda,2013,female,55-74 years,0,5787,0.0
Antigua and Barbuda,2013,female,75+ years,0,1652,0.0
Antigua and Barbuda,2013,male,15-24 years,0,8061,0.0
Antigua and Barbuda,2013,male,25-34 years,0,6782,0.0
Antigua and Barbuda,2013,male,35-54 years,0,13302,0.0
Antigua and Barbuda,2013,male,5-14 years,0,8405,0.0
Antigua and Barbuda,2013,male,55-74 years,0,5238,0.0
Antigua and Barbuda,2013,male,75+ years,0,1072,0.0
Antigua and Barbuda,2014,female,15-24 years,0,8537,0.0
Antigua and Barbuda,2014,female,25-34 years,0,7578,0.0
Antigua and Barbuda,2014,female,35-54 years,0,15273,0.0
Antigua and Barbuda,2014,female,5-14 years,0,8296,0.0
Antigua and Barbuda,2014,female,55-74 years,0,6085,0.0
Antigua and Barbuda,2014,female,75+ years,0,1686,0.0
Antigua and Barbuda,2014,male,15-24 years,0,8208,0.0
Antigua and Barbuda,2014,male,25-34 years,0,6928,0.0
Antigua and Barbuda,2014,male,35-54 years,0,13325,0.0
Antigua and Barbuda,2014,male,5-14 years,0,8335,0.0
Antigua and Barbuda,2014,male,55-74 years,0,5503,0.0
Antigua and Barbuda,2014,male,75+ years,0,1083,0.0
